CHAPTER,PAGE,WORDS
1,11,21
1,12,24
1,13,22
1,14,20
1,15,24
1,16,15
1,17,15
1,18,23
1,19,29
1,20,20
1,21,24
1,22,19
1,23,25
1,24,29
1,25,12
1,26,26
1,27,14
1,28,25
1,29,13
1,30,23
1,31,23
1,32,31
1,33,20
1,34,8
1,35,3
2,36,32
2,37,7
2,38,14
2,39,28
2,40,28
2,41,20
2,42,31
2,43,29
2,44,23
2,45,30
2,46,33
2,47,17
2,48,14
2,49,16
2,50,20
3,51,26
3,52,22
3,53,28
3,54,4
3,55,16
3,56,25
3,57,24
3,58,17
3,59,7
4,60,27
4,61,24
4,62,27
4,63,23
4,64,33
4,65,39
4,66,41
4,67,22
4,68,31
4,69,22
4,70,28
4,71,16
5,72,20
5,73,21
5,74,30
5,75,28
5,76,14
5,77,19
5,78,13
5,79,17
5,80,13
5,81,17
5,82,17
5,83,18
5,84,14
5,85,28
5,86,29
5,87,21
5,88,29
5,89,26
5,90,23
5,91,34
5,92,4
6,93,19
6,94,14
6,95,12
6,96,10
6,97,6
6,98,26
6,99,31
6,100,19
6,101,24
6,102,15
6,103,24
6,104,27
6,105,25
6,106,23
6,107,30
6,108,15
6,109,22
6,110,18
6,111,8
7,112,12
7,113,28
7,114,15
7,115,9
7,116,24
7,117,35
7,118,14
7,119,9
7,120,9
7,121,12
7,122,9
7,123,19
7,124,21
7,125,24
7,126,11
7,127,14
7,128,9
7,129,9
7,130,14
7,131,1
7,132,24
7,133,11
7,134,13
7,135,16
7,136,8
8,137,23
8,138,9
8,139,15
8,140,18
8,141,27
8,142,21
8,143,19
8,144,15
8,145,8
8,146,8
8,147,14
8,148,12
8,149,10
8,150,9
8,151,14
8,152,10
8,153,21
8,154,13
8,155,21
8,156,20
8,157,19
8,158,12
8,159,16
8,160,10
8,161,10
8,162,13
8,163,4
9,164,10
9,165,23
9,166,10
9,167,12
9,168,11
9,169,25
9,170,14
9,171,12
9,172,8
9,173,18
9,174,14
9,175,16
9,176,16
9,177,23
9,178,21
9,179,15
10,180,31
10,181,23
10,182,18
10,183,24
10,184,8
10,185,12
10,186,6
10,187,18
10,188,16
10,189,16
10,190,24
11,191,22
11,192,22
11,193,24
11,194,30
11,195,17
11,196,27
11,197,21
11,198,16
11,199,5
12,200,18
12,201,25
12,202,31
12,203,37
12,204,24
12,205,25
12,206,25
12,207,10
12,208,10
12,209,21
12,210,21
12,211,18
12,212,18
12,213,30
12,214,28
12,215,18
12,216,23
12,217,20
12,218,25
12,219,13
13,220,15
13,221,15
13,222,12
13,223,15
13,224,18
13,225,23
13,226,25
13,227,27
13,228,12
13,229,13
13,230,7
14,231,16
14,232,18
14,233,26
14,234,18
14,235,20
14,236,10
14,237,13
14,238,25
14,239,29
14,240,1
15,241,10
15,242,6
15,243,10
15,244,15
15,245,14
15,246,8
15,247,17
15,248,11
15,249,13
15,250,18
16,251,13
16,252,14
16,253,8
16,254,14
16,255,18
16,256,16
17,257,11
17,258,20
17,259,14
17,260,21
17,261,12
17,262,25
17,263,10
17,264,27
17,265,18
17,266,12
17,267,14
18,268,14
18,269,12
18,270,22
18,271,23
18,272,16
18,273,12
18,274,12
18,275,13
19,276,12
19,277,4
19,278,22
19,279,16
19,280,10
19,281,14
19,282,9
19,283,8
